,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Fire,Water,Grass,Electric,Psychic,Ice,Dragon
Normal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fighting,2.0,1.0,0.51,0.51,1.01,1.88,0.51,0.91,1.01,0.99,0.92,0.51,1.95,0.98
Flying,1.01,1.95,1.05,1.04,1.0,0.5,1.89,1.0,1.02,1.89,1.0,1.03,1.91,0.94
Poison,1.0,1.0,1.02,0.52,1.98,0.51,0.98,1.0,1.03,0.53,1.0,1.0,1.0,1.0
Ground,1.0,1.02,0.5,1.62,1.04,1.9,0.93,1.75,1.01,0.59,1.59,1.01,1.03,1.0
Rock,1.0,0.63,1.98,0.93,0.61,0.95,1.9,1.93,1.01,1.0,1.0,1.03,1.58,1.0
Bug,1.01,0.57,0.53,0.57,0.97,1.02,0.89,0.56,0.99,1.96,1.0,2.0,1.02,1.0
Fire,1.0,1.01,1.08,1.05,0.94,0.53,1.88,0.5,1.97,0.53,0.95,1.02,1.94,1.0
Water,1.0,1.0,0.99,1.0,2.0,2.0,1.0,1.98,0.5,0.51,1.0,1.0,0.98,1.0
Grass,1.01,1.0,0.92,1.96,0.51,1.87,0.51,0.55,2.0,0.96,0.95,1.03,1.05,1.0
Electric,1.01,1.04,1.96,1.0,0.5,0.88,1.0,1.03,1.94,0.5,1.05,1.01,1.03,1.06
Psychic,1.0,1.97,0.99,1.0,1.0,1.03,1.0,1.0,1.0,1.0,0.98,0.5,1.01,1.0
Ice,1.0,1.03,1.01,1.01,1.94,1.02,1.07,1.94,0.97,1.86,1.0,1.01,0.53,1.1
Dragon,0.98,1.0,1.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4
