,Normal,Fighting,Flying,Poison,Ground,Rock,Bug,Fire,Water,Grass,Electric,Psychic,Ice,Dragon
Normal,1.03,1.25,1.28,1.02,1.08,0.47,0.99,0.89,1.01,1.05,1.05,0.99,0.88,0.79
Fighting,1.95,0.74,0.68,0.67,1.05,1.79,0.51,0.99,0.7,0.93,0.95,0.69,1.26,0.82
Flying,0.99,1.91,1.03,1.01,1.5,0.52,1.96,1.1,0.76,1.92,0.55,0.95,1.93,1.03
Poison,1.05,1.01,0.96,0.66,-0.45,0.44,1.04,1.02,0.99,1.77,1.16,1.01,1.07,1.17
Ground,1.0,1.23,-0.19,1.89,1.01,1.91,0.77,1.91,0.72,0.57,1.93,1.04,1.0,1.77
Rock,1.03,0.48,1.93,0.96,0.54,1.42,1.93,1.78,0.99,0.95,0.97,1.02,1.74,1.01
Bug,1.02,0.53,-0.07,0.7,1.27,0.69,1.03,0.44,1.02,1.91,1.02,1.89,1.04,1.32
Fire,0.86,1.03,1.04,1.05,0.88,0.28,1.57,0.28,0.52,1.92,1.08,1.37,1.8,0.95
Water,1.01,0.98,0.95,0.93,2.0,1.92,1.01,1.91,0.52,0.53,0.98,1.02,0.99,-0.04
Grass,1.0,0.96,0.44,0.63,2.09,1.92,0.55,0.37,1.99,0.52,1.01,0.98,0.99,0.77
Electric,0.99,1.01,1.81,0.98,-0.2,1.1,1.08,1.5,2.1,0.49,0.44,1.06,0.76,0.53
Psychic,0.97,1.9,1.07,1.76,1.01,0.95,1.06,1.36,0.89,1.02,1.03,0.59,0.99,1.24
Ice,1.28,0.99,1.81,1.07,1.83,1.06,0.94,0.59,0.45,1.92,0.82,0.97,0.43,1.67
Dragon,0.26,0.82,0.8,1.29,0.83,0.55,1.04,1.2,0.97,0.32,1.29,0.4,1.84,2.44
